2025.04.03 16:15:00   PROBE_OPEN | SHORT | p=0.89749 | lot=0.01 | gate_l=0 gate_s=1
2025.04.03 16:30:00   CLOSE_BASKET | SHORT | p=0.89662 | lot=0.01 | reason=tp_10.0_pips net_pips=8.7
2025.04.04 22:45:00   PROBE_OPEN | SHORT | p=0.86072 | lot=0.01 | gate_l=0 gate_s=1
2025.04.04 23:00:00   CLOSE_BASKET | SHORT | p=0.85933 | lot=0.01 | reason=tp_10.0_pips net_pips=13.9
2025.04.04 23:45:00   PROBE_OPEN | SHORT | p=0.86001 | lot=0.01 | gate_l=0 gate_s=1
2025.04.07 00:15:00   CLOSE_BASKET | SHORT | p=0.85602 | lot=0.01 | reason=tp_10.0_pips net_pips=39.9
2025.04.07 04:30:00   PROBE_OPEN | SHORT | p=0.85534 | lot=0.01 | gate_l=0 gate_s=1
2025.04.07 04:45:00   CLOSE_BASKET | SHORT | p=0.85433 | lot=0.01 | reason=tp_10.0_pips net_pips=10.1
2025.04.07 05:00:00   PROBE_OPEN | SHORT | p=0.85543 | lot=0.01 | gate_l=0 gate_s=1
2025.04.07 06:30:00   ADD | SHORT | p=0.85792 | lot=0.24 | 
2025.04.07 07:30:00   CLOSE_BASKET | SHORT | p=0.85626 | lot=0.25 | reason=tp_10.0_pips net_pips=15.6
2025.04.07 10:15:00   PROBE_OPEN | SHORT | p=0.85659 | lot=0.01 | gate_l=0 gate_s=1
2025.04.07 10:45:00   CLOSE_BASKET | SHORT | p=0.85553 | lot=0.01 | reason=tp_10.0_pips net_pips=10.6
2025.04.07 11:30:00   PROBE_OPEN | SHORT | p=0.85636 | lot=0.01 | gate_l=0 gate_s=1
