idx,open_dt,close_dt,dir,level,wavg,close_p,total_lots,net_pips,reason,lot_pips,usd
232,2025.07.22 05:30:00,2025.07.22 08:30:00,SHORT,1,0.89255,0.89189,0.01,6.6,tp_10.0_pips,0.066,0.45
233,2025.07.22 14:45:00,2025.07.22 17:00:00,SHORT,2,0.89332,0.89262,0.25,7.0,tp_10.0_pips,1.755,11.89
234,2025.07.23 02:15:00,2025.07.28 10:30:00,SHORT,5,0.89824,0.89736,1.69,8.8,tp_10.0_pips,14.880,100.80
235,2025.07.28 10:45:00,2025.07.28 17:45:00,LONG,2,0.89425,0.89540,0.25,11.5,tp_10.0_pips,2.870,19.44
236,2025.07.28 18:30:00,2025.07.29 01:30:00,LONG,1,0.89470,0.89583,0.01,11.3,tp_10.0_pips,0.113,0.77
237,2025.07.29 03:45:00,2025.07.29 05:15:00,LONG,1,0.89506,0.89613,0.01,10.7,tp_10.0_pips,0.107,0.72
238,2025.07.29 07:45:00,2025.07.29 18:00:00,LONG,1,0.89572,0.89682,0.01,11.0,tp_10.0_pips,0.110,0.75
239,2025.07.30 00:00:00,2025.07.31 07:45:00,LONG,4,0.89153,0.89291,1.09,13.8,tp_10.0_pips,15.004,101.64
240,2025.07.31 08:00:00,2025.07.31 13:15:00,SHORT,1,0.89328,0.89258,0.01,7.0,tp_10.0_pips,0.070,0.47
241,2025.07.31 21:45:00,2025.07.31 23:30:00,SHORT,1,0.89067,0.88998,0.01,6.9,tp_10.0_pips,0.069,0.47
242,2025.08.01 02:00:00,2025.08.01 16:45:00,SHORT,2,0.89427,0.89175,0.25,25.2,tp_10.0_pips,6.304,42.71
243,2025.08.01 22:45:00,2025.08.04 10:30:00,SHORT,2,0.89292,0.89221,0.25,7.1,tp_10.0_pips,1.777,12.04
244,2025.08.04 12:15:00,2025.08.04 13:45:00,SHORT,1,0.89312,0.89243,0.01,6.9,tp_10.0_pips,0.069,0.47
245,2025.08.04 23:15:00,2025.08.07 18:15:00,SHORT,3,0.89463,0.89387,0.61,7.6,tp_10.0_pips,4.641,31.44
246,2025.08.07 18:30:00,2025.08.07 22:45:00,LONG,1,0.89419,0.89537,0.01,11.8,tp_10.0_pips,0.118,0.80
247,2025.08.08 04:30:00,2025.08.08 10:15:00,LONG,1,0.89561,0.89678,0.01,11.7,tp_10.0_pips,0.117,0.79
248,2025.08.08 12:00:00,2025.08.08 15:45:00,LONG,1,0.89566,0.89668,0.01,10.2,tp_10.0_pips,0.102,0.69
249,2025.08.08 22:30:00,2025.08.12 06:15:00,LONG,1,0.89726,0.89834,0.01,10.8,tp_10.0_pips,0.108,0.73
250,2025.08.12 07:45:00,2025.08.12 15:45:00,LONG,2,0.89535,0.89641,0.25,10.6,tp_10.0_pips,2.645,17.92
251,2025.08.13 00:30:00,2025.08.13 09:45:00,LONG,1,0.89933,0.90049,0.01,11.6,tp_10.0_pips,0.116,0.79
252,2025.08.13 15:45:00,2025.08.14 05:00:00,LONG,1,0.90101,0.90230,0.01,12.9,tp_10.0_pips,0.129,0.87
253,2025.08.14 07:00:00,2025.08.15 16:45:00,LONG,3,0.89800,0.89917,0.61,11.7,tp_10.0_pips,7.131,48.31
254,2025.08.15 20:15:00,2025.08.18 08:30:00,LONG,1,0.89899,0.90005,0.01,10.6,tp_10.0_pips,0.106,0.72
255,2025.08.18 09:30:00,2025.08.19 15:45:00,LONG,3,0.89613,0.89718,0.61,10.5,tp_10.0_pips,6.396,43.33
256,2025.08.19 16:45:00,2025.08.22 11:45:00,LONG,3,0.89308,0.89420,0.61,11.2,tp_10.0_pips,6.819,46.19
257,2025.08.22 12:00:00,2025.08.22 13:00:00,SHORT,1,0.89416,0.89332,0.01,8.4,tp_10.0_pips,0.084,0.57
258,2025.08.22 15:30:00,2025.08.25 04:15:00,SHORT,2,0.89746,0.89670,0.25,7.6,tp_10.0_pips,1.899,12.86
259,2025.08.25 04:30:00,2025.08.25 07:15:00,LONG,1,0.89639,0.89742,0.01,10.3,tp_10.0_pips,0.103,0.70
260,2025.08.25 11:00:00,2025.08.25 17:30:00,LONG,1,0.89760,0.89892,0.01,13.2,tp_10.0_pips,0.132,0.89
